Date,Region,Product,Quantity,UnitPrice,CustomerSegment,Category,Sales,Profit,Year,Month,YearMonth
2021-01-01,South,Delta,2,798.62,Consumer,Electronics,1597.24,57.42,2021,1,2021-01-01
2021-01-01,North,Delta,5,286.05,Consumer,Electronics,1430.25,175.32,2021,1,2021-01-01
2021-01-02,West,Beta,3,938.44,Consumer,Furniture,2815.32,565.82,2021,1,2021-01-01
2021-01-02,West,Alpha,7,81.96,Consumer,Electronics,573.72,51.14,2021,1,2021-01-01
2021-01-02,West,Epsilon,2,78.62,Consumer,Furniture,157.24,10.5,2021,1,2021-01-01
2021-01-02,West,Epsilon,7,880.77,Consumer,Furniture,6165.39,317.75,2021,1,2021-01-01
2021-01-03,South,Beta,5,396.61,Corporate,Furniture,1983.05,610.22,2021,1,2021-01-01
2021-01-03,West,Gamma,4,528.46,Corporate,Office Supplies,2113.84,60.9,2021,1,2021-01-01
2021-01-04,West,Beta,5,640.18,Corporate,Furniture,3200.9,297.75,2021,1,2021-01-01
2021-01-04,West,Gamma,3,806.62,Consumer,Office Supplies,2419.86,327.13,2021,1,2021-01-01
2021-01-05,South,Epsilon,3,265.92,Home Office,Furniture,797.76,164.03,2021,1,2021-01-01
2021-01-05,North,Delta,4,869.15,Corporate,Electronics,3476.6,818.11,2021,1,2021-01-01
2021-01-06,East,Epsilon,2,584.42,Corporate,Furniture,1168.84,223.1,2021,1,2021-01-01
2021-01-07,South,Delta,5,26.76,Consumer,Electronics,133.8,-10.82,2021,1,2021-01-01
2021-01-07,South,Gamma,3,106.69,Corporate,Office Supplies,320.07,-19.02,2021,1,2021-01-01
2021-01-07,West,Delta,3,164.37,Consumer,Electronics,493.11,21.67,2021,1,2021-01-01
2021-01-08,North,Alpha,5,474.05,Consumer,Electronics,2370.25,524.47,2021,1,2021-01-01
2021-01-09,West,Beta,4,14.75,Corporate,Furniture,59.0,11.1,2021,1,2021-01-01
2021-01-09,North,Beta,6,940.94,Corporate,Furniture,5645.64,908.81,2021,1,2021-01-01
